export_item_id_dashboard_down_item,export_item_name_dashboard_down_item,export_price_dashboard_down_item(Rp),export_sales_dashboard_down_item(Rp),export_item_sold_dashboard_down_item,export_orders_dashboard_down_item,export_clicks_dashboard_down_item,export_est_commission_dashboard_down_item(Rp),export_roi_dashboard_down_item,export_total_buyers_dashboard_down_item,export_new_buyers_dashboard_down_item
20095519950,free Wajan Presto Special freemir Wajan Sultan Granite Premium Lengkap 26/24/20/20/16cm Anti Lengket,1250900,18319200,21,21,72,417365.42,43.9,21,15
24832616754,Special freemir 3in1 Wajan Panci Frypan Granite 20/20/24 Cm Warna Beige Anti Lengket Serbaguna wajan anti lengket,230000,13780281,59,59,645,707182.6,19.5,59,48
11176160330,Special freemir Frypan Granite Anti Lengket 16/20/24cm Wajan Penggorengan Serbaguna Gagang Kayu,84000,13133358,142,141,4137,784132.12,16.7,140,78
47750258349,Special freemir Panci Stainless Steel 316 Serbaguna 3in1 Kukusan + Panci Susu MPASI Bayi | Steamer Mini untuk Kompor Semua Jenis,248000,11819539,57,57,1078,802465.66,14.7,57,40
23779738215,Special freemir Panci MPASI Bunga Sakura Pink Series  20cm Foodgrade Cocok untuk MPASI Anti Lengket,124000,11316764,64,64,1359,870387.62,13.0,64,29
9814319635,Special freemir Wajan Honeycomb Sarang Lebah SUS316 Panci Premium Anti Lengket Anti Karat Bergaransi,604000,10834131,19,19,584,431425.94,25.1,19,10
24780239599,Special freemir Wajan Panci Set 7Pcs 26/20/20/16cm Granite Anti LengketTutup Kaca Alat Masak Lengkap,839900,10171250,17,17,236,297681.56,34.2,17,10
25820926279,Special freemir Wokpan Beige 24cm Granite Anti Lengket Bisa Semua Masakan Dengan Tutup Kaca Premium,201000,7245673,49,48,3354,480022.66,15.1,48,35
27058023899,[OFFICIAL] freemir Set 7 Pcs Wajan Panci Anti Lengket Lapisan Granit Alat Masak Lengkap Tutup Kaca,704000,7088353,13,13,808,508459.18,13.9,13,4
44128491844,Special freemir Nusantara Series Wajan Stainless Steel 316 Honeycomb 3 Lapis Anti Lengket Anti Gores Kuali Masak Serbaguna + Rak Tiris Minyak [24/36cm],404000,6890756,19,19,206,222576.85,31.0,19,12
29505512998,Special freemir Panci Kukus Tingkat 24cm Stainless Steel Anti Karat Kukus Rebus Dalam Satu Waktu,184000,6188269,42,37,519,338625.46,18.3,37,22
48956654041,freemir Nusantara Series Wajan penggorengan stainless 316 Honeycomb Wajan goreng 3 Lapis Rak Tiris Minyak [24/36cm],404000,5292423,16,14,911,519135.84,10.2,14,2
18631804071,Special freemir Panci Kukus Rebus 2 Susun Masak Nasi 20 Menit Lebih Cepat  Stainless Steel panci kukusan stainless steel 304,184000,5192945,23,23,2010,262326.06,19.8,23,15
20294074671,freemir Set 7 Pcs Wajan Panci Ukuran Lengkap dengan Tutup Anti Lengket Marble Lapisan Granit,664000,4288711,8,8,202,258818.7,16.6,8,7
26151466611,Special freemir Wokpan Anti Lengket 20cm Wajan Penggorengan Beige Dengan Gagang Serat Kayu 1.8L/2.0L,151000,4070335,37,37,1255,239299.72,17.0,37,20
42907645284,[OFFICIAL] freemir Wajan Honeycomb Sarang Lebah SUS 316 Panci Anti Lengket Anti Karat Sehat Premium,598500,4039181,5,5,154,102233.88,39.5,5,2
22588766844,Special Buy 1 get 1 freemir Wajan Teflon Black Series 24cm Granit Anti Lengket Gagang Kayu Serbaguna,421000,3964304,14,14,104,177714.16,22.3,14,9
26229835725,[OFFICIAL] freemir Wajan 28 cm SUS 304 Stainless Steel Jerman GARANSI 100% KERUSAKAN,254000,3213446,15,14,416,153751.96,20.9,14,9
43851759836,Ramadan Special freemir Panci Besar 10L Micro Pressure 30cm Anti Lengket [Beige/Hitam] - Spesial Masak Rendang Opor Lebaran,295000,3185419,10,10,1026,235346.98,13.5,10,7
23881573144,Special freemir Wajan Panci Granit Black Granit 20cm Anti Lengket Serbaguna Pegangan Kayu Anti Rayap,200000,3128012,20,20,191,179880.2,17.4,20,14
41070742868,"Special freemir Panci Kukus Stainless 26cm Kapasitas besar 2 lapis, cocok untuk mengukus nasi dan ikan sebagai makanan pendamping ASI anak",294000,2886779,12,12,171,80701.06,35.8,12,8
29464953240,Special freemir Set Wajan Panci Anti Lengket Wajan 20 cm Panci 18 cm Putih  dengan Tutup Kaca Wajan Serbaguna,274000,2788993,13,12,104,124114.98,22.5,12,10
25429678591,[OFFICIAL BEST SELLER]freemir Panci Set 8Pcs Lapisan Granit Anti Lengket Panci Susu Wajan Soup Wajan Penggorengan Set Alat Masak SNI GARANSI,704000,2785225,5,5,116,144204.76,19.3,5,3
47153467458,free Toples Special freemir Wajan Panci Set Induksi Die-Cast Premium 6 pcs Anti Lengket 20/24/28cm,1229000,2596080,3,3,45,86436.8,30.0,3,3
54250334723,Special free hadiah New 2026 freemir Slow Rice Cooker Digital 1.2L Low Sugar Magic Com MPASI Bayi,604000,2463508,5,5,323,68963.68,35.7,5,5
25310529969,Special freemir 0-Coating Panci Stainless Steel type 316 Premium 24/20  Cm Serbaguna Anti Lengket,354000,2410930,7,7,446,159473.5,15.1,7,4
22382942482,Special freemir Wajan Anti lengket Panci Granite Hitam Series 24cm Serbaguna Tinggi 10cm Berkukusan,244000,2286444,13,13,1677,109663.6,20.8,13,8
27841519903,Special freemir Wajan Stainless Set Serie API SUS304 Induksi Bottom Anti Karat Panas Cepat Merata,174000,2281158,12,11,3134,125651.22,18.2,11,8
19386160842,Special freemir Paket Hemat Wajan Panci Granite Set MPASI Serbaguna Hemat 4Pcs Anti Lengket Premium,649900,2258753,5,5,33,156892.82,14.4,5,3
12799210794,[OFFICIAL MALL] freemir Set 7 Pcs Wajan Panci 26/20/20/16 Cm Anti Lengket Lapisan Granit Alat Masak Lengkap,704000,2235228,4,4,23,175711.52,12.7,4,2
42950026367,[OFFICIAL] Baru freemir Mini Electric Cooker White 1.2L Anti Lengket Pengukus Serbaguna Foodgrade panci listrik panci kukus,134000,2163327,21,21,279,94822.98,22.8,21,16
29264953615,Special Buy 1 get 1 freemir Wajan Teflon Sakura White Series 20/18cm Mpasi Approve Anti Lengket,230000,2101787,10,10,137,123973,17.0,10,9
41601537323,Special freemir Panci Susu Gemoy Stainless Steel 16cm Panci Sauce Pan 304 Serbaguna Dengan Tutup panci mpasi bayi,204000,2061911,11,11,213,85053.22,24.2,11,7
24014065387,Special freemir Wajan Panci Kuping  Kukus Granite Hitam Lebar24cm Tinggi 10cm Serbaguna Anti Lengket,239000,2029271,9,9,320,138640.64,14.6,9,3
29277083816,[OFFICIAL] freemir Digital Rice Cooker Digital Aesthetic Low Carbo/ Rice Cooker Digital / Penanak Nasi /Smart touch screen rice cooker 1.2L 400W,804000,1941074,3,2,56,114454.58,17.0,2,2
26727085402,Special freemir Smart Rice Cooker Touchscreen Penanak Nasi 1.5L 400W MPASI Stainless 304 Lapisan Keramik Anti Lengket,898000,1896473,3,3,372,83535.7,22.7,3,2
22438133371,[OFFICIAL] freemir 24/20cm Panci Dua Handle dengan Tutup Kaca Tinggi 10cm wajan anti lengket panci anti lengket,200000,1849831,9,9,666,80277.88,23.0,9,8
42669698420,Special freemir Wajan Panci Kuping Presto 24/10 Micro-Pressure Anti Lengket Serbaguna Untuk Keluarga,295000,1837976,9,9,292,131091.4,14.0,9,5
28661133923,Special free Gift Paket Hemat freemir Wajan Panci Set 20cm Granite Anti Lengket Serbaguna Foodgrade,588000,1775419,4,4,22,35508.38,50.0,4,2
25214386431,[New Launch] freemir Spatula Sutil Cantik Silikon Beige Alat Masak Anti Leleh Food Grade,29900,1726174,239,232,234,103837.1,16.6,232,145
44368396753,Special freemir Seri Api-304 Double Bottom Stainless Steel 5-Piece Set No coating is healthier Compatible with a variety of stoves Microwave available,724000,1659542,3,3,11,66381.68,25.0,3,1
19794946359,Special freemir Frypan Granite Black Series Anti Lengket 20/24cm Serbaguna Masak Apapun Tanpa Minyak,134900,1647713,15,14,364,117573.12,14.0,14,9
29208074671,Special freemir Wajan Panci Jumbo Black Series 30 cm Anti Lengket Serbaguna Bisa semua jenis masakan,304000,1334036,6,6,70,48292.44,27.6,6,5
24638032641,Special free Kukus freemir Wajan Panci Set 7 Pcs  Induksi 26/20/20/16cm Granite Anti Lengket Premium,912800,1279182,2,2,38,25583.64,50.0,2,1
40502089847,NEW 2026 freemir Wajan Penggorengan Premium stainless steel SUS 304 Foodgrade Anti Karat wajan stainless steel,254000,1212121,3,3,247,57434.22,21.1,3,1
25119005763,Special freemir Panci Kukus Rebus 2/3 Susun 26cm Stainless Steel Anti Karat kukus dan rebus 4.5L,224900,1181410,6,6,92,52958.6,22.3,6,3
19190085273,Special freemir Deepfryer Set 304 Stainless Steel Anti Karat Multifungsi Bisa Goreng dan Rebus,194000,1151718,8,8,1029,53949.24,21.3,8,4
18086225745,Special freemir Wajan Granite Teflon Black Series 20cm Granit Anti Lengket Hitam Serbaguna Premium,324000,1110615,5,5,7,30890.46,36.0,5,5
46606653911,Official freemir Nusantara Series Wajan Stainless Steel 316 Honeycomb 3 Lapis Rak Tiris Minyak [24/36cm] Anti Lengket Anti Gores Kuali Masak Serbaguna,404000,1105479,3,3,78,29431.65,37.6,3,2
42405168412,"Special freemir  Wajan Frying Pan Stainless Steel SUS 316 Masak Anti Lengket, Panas Merata Foodgrade",354000,1063511,4,4,90,52523.98,20.2,4,3
49906423291,Special freemir Titanium Anti BakteriLow Watt 400W Digital Pressure Rice Cooker 1.5L - Spesialis Kaldu & Ungkep Daging Idul Adha,674000,1058625,2,2,9,21172.5,50.0,2,2
43006257515,Special freemir Terbaru Panci Gemoy Kuping Stainless Steel 304 Food Grade Gagang Kayu Anti Karat 3in1 set,204000,1046615,5,5,143,59856.82,17.5,5,4
23183569195,[OFFICIAL] freemir Frypan Granite Black Series wajan penggorengan anti lengket 16/20/24cm wajan anti lengket,84900,1038229,12,12,326,61168.7,17.0,12,8
25829107483,Special freemir Wajan Panci Penggorengan Beige Granite Premium Anti lengket Serbaguna Bertutup Kaca,200000,1013091,7,6,193,26780.48,37.8,6,4
22287302849,[FLASH SALE] freemir Grill Pan REE Capitan 30 CM Wajan Pemanggang Bulat Panggangan BBQ Anti Lengket,180900,1002927,8,8,58,66640.46,15.0,8,8
2615201244,freemir Tiga Lapis 316 Motif Sarang Lebah dengan Tutup Kaca 24cm Anti Lengket Luar Dalam Panci stainless steel,604000,940061,2,2,33,28269.78,33.3,2,0
50304271995,"freemir Wajan Stainless Steel 316-24cm-Anti Lengket, PanasMerata, Tahan Lama Seri Air-316  zero coating",404000,932900,3,3,10,24961.76,37.4,3,2
29275707484,Special freemir  Panci Honeycomb stainless steel Tiga Lapis 316 dengan Tutup Kaca 24cm Anti Lengket,604000,929834,2,2,73,55069.16,16.9,2,1
25931730833,Special freemir Panci Mpasi Gemoy Viral Serbaguna 16cm Granite Anti Lengket dan tumpah Multifungsi,140000,927793,6,6,501,45916.74,20.2,6,3
24379113703,[OFFICIAL] freemir Beige 30cm wajan anti lengket 4L panci anti lengket teflon anti lengket Kompatibel dengan kompor induksi,182000,878964,4,4,283,36153.64,24.3,4,4
19892915562,Official freemir Wajan Anti Lengket / 16cm Warna Wajan Marble / Panci Kecil Serbaguna untuk Telur / Pancake & Masakan Cepat / Lapisan Anti Lengket Premium,84000,846851,13,13,63,25674.84,33.0,13,10
25319734589,Special freemir Wajan Panci Granite Beige Series 20cm Anti Lengket Foodgrade Serbaguna,200000,787555,5,5,29,30489.5,25.8,5,1
18350670317,[OFFICIAL] freemir  4 in 1 Multi Kedalaman 20 cm Dengan tutup Deep Fryer Panci Stainless Steel Saringan Capitan Klip Makanan,154000,762979,5,5,92,47405.82,16.1,5,2
28956757717,[OFFICIAL] freemir Panci 20 CM Wajan Panci Serbaguna Single Bottom Panci Warna Hitam,151000,753863,7,7,88,41860.22,18.0,7,6
12222795449,[OFFICIAL] freemir Pisau Set 3PCS Pisau Daging Pisau Sayur Pisau Serbaguna Anti Karat,104900,750915,10,10,45,56768.7,13.2,10,7
24822051404,[FLASH SALE] freemir Wajan Panci 20 Cm Tutup Kaca Wajan Anti Lengket Hitam/Beige Lapisan Granit,200000,741712,5,5,13,24043.44,30.8,5,4
23187302310,[OFFICIAL] freemir Wajan Panci 20 Cm Tutup Kaca Wajan Anti Lengket Hitam/Beige Lapisan Granit,200000,725679,5,5,265,32167.5,22.6,5,3
41050731133,freemir Panci Susu 1.2L Mini Milk Pot Gemoy Kopi Susu Granit Panci Anti Lengket Rebus Mie Serbaguna,140000,715128,6,6,114,34041.18,21.0,6,4
18693581628,Special free Toples Kaca freemir Wajan Panci Set Granite 7Pcs26/20/20/16cm Penggorengan Anti Lengket,818000,703096,1,1,12,14061.92,50.0,1,1
24519923366,Special Buy 1 Get 1 freemir Wajan Teflon Beige Granite Series 20cm Granite Anti Lengket Serbaguna,324000,699750,3,3,17,18788.78,37.2,3,3
22838112302,[OFFICIAL] freemir Wajan Penggorengan 24 cm Anti Lengket Gagang Kayu Serbaguna,84000,696754,8,8,53,20840.4,33.4,8,5
28551466004,[OFFICIAL BEST SELLER] freemir Panci Susu Anti Lengket Panci Mie Panci Serbaguna Panci Gemoy  Aesthetic Double Bottom Pemanasan Merata,224900,647197,4,4,46,50999,12.7,4,1
26258235332,[OFFICIAL MALL] freemir 30 CM Panci dengan Tutup Kaca Anti Warna Hitam Lengket Multifungsi panci mie rebus wajan,304000,618380,3,3,65,61838,10.0,3,1
25234837351,Special freemir Wajan Panci Jumbo Beige Granite Series 30 cm Anti Lengket bisa Presto Masak Apapun,304000,611327,2,2,54,41767.1,14.6,2,2
25019733170,[OFFICIAL] freemir Wajan Beige 20 cm Kedalaman 7 cm Dengan Tutup Bahan Granit Anti Lengket Wajan Serbaguna,200000,592884,4,4,36,35177.04,16.9,4,2
29858770534,Special Buy 1 get 1 freemir Wajan Teflon Beige Series 24cm Granit Anti Lengket Gagang Kayu Serbaguna,399900,572544,2,2,15,57254.4,10.0,2,1
43718394103,[OFFICIAL]freemir Seri Api-304 Double Bottom Stainless Steel 5-Piece Set No coating is healthier Compatible with a variety of stoves Microwave available,724000,568872,1,1,12,11377.44,50.0,1,1
40370504237,Special freemir Panci Presto Sultan 10L Beige - Spesial Masak Besar Sahur & Buka Puasa Anti Lengket,295000,565902,2,2,118,18133.08,31.2,2,2
42008700400,[OFFICIAL]  freemir Magic Com Stainless Steel Low Carbo Penanak Nasi Digital Sehat Rendah Gula,804000,539325,1,1,6,21573,25.0,1,1
41578225087,freemir Tiga Lapis 316 Motif Sarang Lebah Anti Lengket Luar Dalam Panci stainless steel dengan Tutup Kaca 24cm Steamer,604000,528318,1,1,26,10566.36,50.0,1,0
25722078391,[OFFICIAL] freemir Deep Wood Series Wajan Panci 24cm Warna Hitam/Beige Kedalaman 10cm Anti Lengket,234000,514957,3,3,71,25686.1,20.0,3,1
2886475486,"[OFFICIAL] freemir Parutan Serbaguna 6 in 1 Multifungsi | Parutan Sayur, Pengiris Bawang, Pemotong Kentang | Aman Anti Luka",124000,508468,6,6,36,15114.13,33.6,6,5
17282421263,[OFFICIAL] freemir Panci Gemoy Kuping Stainless Steel 304 Food Grade Sehat Dua Gagang Pegangan,204000,508398,2,2,73,10167.96,50.0,2,1
51052835055,Special freemir  1.5L Smart Panci Rice Cooker Digital Touch Screen Multifungsi Daya Rendah Kapasitas  Anti Lengket,828000,496475,1,1,29,9929.5,50.0,1,1
27292407232,"Special freemir Panci susu mini Kelas makanan baja tahan karat 304 Mudah dibersihkan wajan anti lengket Masak mie, kopi, dan susu Satu pot untuk berbagai kegunaan Panci dan wajan dapur",124000,449893,6,6,64,30782.74,14.6,6,2
25229683441,Official freemir Rice Cooker Digital 1.2L Low Sugar – Magic Com Mini MPASI Bayi Slow Cook dengan Steamer 304,604000,443533,1,1,6,8870.66,50.0,1,1
28691994937,"Special freemir Wokpan Anti Lengket 20cm Wajan Penggorengan pink Panci dan wajan dapur Cocok untuk menumis, omelet dan menggoreng",151000,434406,3,3,41,21838.68,19.9,3,2
11236077843,OFFICIAL Ramadan freemir Panci Kukus 3 Susun Stainless 304 - Steamer SNI Medical Grade - Masak Nasi Matang 20 Menit Cocok untuk Sahur,184000,426474,2,2,219,27376.16,15.6,2,1
42310713216,Special freemir Wokpan Cekung 20/24cm Wajan Anti Lengket Corong Anti Tumpah  Foodgrade Masak Serbaguna,151000,407454,4,4,399,31754.16,12.8,4,2
56601401053,"Special freemir Wajan & Panci Stainless Steel 304 Putih – Multi Fungsi untuk Kukus, Rebus, Sup & MPASI Bayi",504000,389718,1,1,8,15588.72,25.0,1,1
27980880197,[OFFICIAL] freemir Upgraded Panci Kukus 26cm Stainless Steel dengan Double Bottom (Dasar Ganda) untuk Pemanasan Merata dan Tutup Kaca 2 Tingkat - 100% GARANSI KERUSAKAN,234000,389483,2,2,6,4039.56,96.4,2,0
27100501050,[OFFICIAL MALL] freemir Wajan Panci 24CM Wajan Anti lengket Wajan Panci Hitam Wajan Serbaguna,234000,383420,2,2,12,11442.42,33.5,2,2
23773222742,[OFFICIAL] freemir Wajan Penggorengan 20 cm Beige Anti Lengket GARANSI 100% KERUSAKAN,124000,368100,4,4,38,28927.44,12.7,4,4
9715613311,[OFFICIAL BEST SELLER] freemir Panci Stainless Steel 2/3 Susun Dan Tutup Panci Kukus  Panci Steamer Kapasitas Besar 33CM SNI GARANSI,234000,366588,2,2,94,21826.96,16.8,2,0
24420211458,Special freemir Wajan Panci Granite Black Series 24cm Kedalaman 10cm Masak Anti Lengket Serbaguna,244000,366417,2,2,20,20810.34,17.6,2,2
16993398901,Special freemir 26cm Kapasitas besar multi-lapis Panci Kukus / Matang dalam 20 Menit Penanak / Kukusan panci,120000,346708,1,1,467,13868.32,25.0,1,1
22630532708,freemir Grill Pan FREE Capitan Anti Lengket 30 cm Korean Wajan Pemanggang Serbaguna Bulat Panggangan Luar BBQ,180900,345665,3,3,52,25843.94,13.4,3,2
24470409617,freemir Wajan Panci Beige 20cm dengan Tutup Kaca Kedalaman 8 cm Anti Lengket Gagang Kayu Sintetis,144000,342378,2,2,9,19499.4,17.6,2,2
28813737551,Special freemir Tatakan Kukusan Stainless Steel 16/20/24cm Multifungsi Anti Karat Korosi Foodgrade,25900,337430,8,8,62,8157.8,41.4,8,3
41816820115,"[OFFICIAL] freemir Frypan wajan penggorengan anti lengket 20cm wajan anti lengket Wajan Stainless Steel serbaguna kapasitas besar 2,8L",204000,329544,2,2,440,13181.76,25.0,2,1
44418689804,NEW special freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,174000,328342,3,3,10,11072.88,29.7,3,2
40320531794,Ramadan Official freemir Panci Presto 10L Jumbo Anti Lengket Panci Masak Rendang Opor Ketupat Lebaran Deep Soup Pot 30cm,474000,302940,1,1,0,6058.8,50.0,1,0
41913945824,freemir Stainless Steel SUS 316 MEDICAL GRADE Wajan 3-Lapis 20cm Anti Lengket panci stainless steel wajan stainless,404000,299704,1,1,7,0,--,1,1
26905794195,[FLASH SALE] freemir Panci Kukus 2 Susun 24 cm Panci Stainless Steel 304 Panci Anti Karat Serbaguna,184000,288190,2,2,2,5763.8,50.0,2,2
26708032227,Special freemir Wajan Panci Kukus Jumbo Presto 24cm Granite Anti Lengket 5.5L Serbaguna Cepat Panas,295000,280480,1,1,42,22438.4,12.5,1,1
24446754373,"Special freemir Wajan Panci Aladin Granite Anti Lengket 20cm Wajan serbaguna kapasitas besar 2,8L Lebih Sehat Ringan Praktis Multifungsi Kitchenware",50000,257638,2,2,97,7795.92,33.0,2,2
26708229470,[OFFICIAL] freemir Wajan Panci Jumbo 30 CM Double Bottom dan Tutup Kaca Anti Lengket Granit,314900,250895,1,1,3,5017.9,50.0,1,0
43920747163,"Offical freemir Panci Kukus Stainless 26cm Kapasitas besar 2 lapis, cocok untuk mengukus nasi dan ikan sebagai makanan pendamping ASI anak",294000,247289,1,1,210,9891.56,25.0,1,0
25414826482,Special freemir Panci Sup Black Series 18 cm Panci Susu Rebus MPASI bebas BPA PFOA,84900,244182,4,4,29,22024.2,11.1,4,3
21085076438,Special freemir Panci Sup Sakura Series 16 cm Panci Susu Rebus MPASI bebas BPA PFOA,84000,235371,2,2,48,5935.16,39.7,2,1
27232706669,Special freemir Panci Susu Stainless 304 Food Grade Anti Karat dengan Tutup Silikon Kedap Udara panci mie rebus,184000,232613,2,2,166,11678.14,19.9,2,0
16246249540,Special freemir Panci Sup Stainless steel 304 Double Bottom 26cm Goreng Rebus Premium 0-Coating,324000,228307,1,1,50,22830.7,10.0,1,1
22210342505,[OFFICIAL] freemir Deep Fryer Panci 4 in 1 Wajan Stainless Steel Penggorengan Anti Karat Serbaguna,154000,228284,2,2,84,13606.24,16.8,2,1
53900589239,[Official]freemir pelat konduksi panas hitam anti-bakar Pelat konduksi panas rumah tangga kompor gas untuk mencegah bagian bawah panci terbakar hitam,89000,227976,3,3,12,22797.6,10.0,3,1
15812952905,[OFFICIAL ] freemir Wajan Penggorengan 24cm Warna Krem Beige Anti Lengket dengan gagang serat kayu,84900,221036,2,2,48,22103.6,10.0,2,2
51500243299,"Official freemir Panci Kukus Stainless 316 Premium dengan Tutup Kaca & Pegangan Kayu – Steamer MPASI, Panci Susu & Mie Rebus Serbaguna",294000,217222,1,1,2,4344.44,50.0,1,0
29784863612,[OFFICIAL] Panci Susu Renda Bunga Putih Foodgrade MPASI GARANSI MPASI panci,190900,214042,1,1,14,4280.84,50.0,1,1
41668700034,[OFFICIAL]NEW freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,174000,212242,2,2,12,8489.68,25.0,2,2
42851687901,[OFFICIAL] Baru 20cm frying pan 304 stainless steel Garansi,154000,211968,2,2,13,16957.44,12.5,2,0
16696108972,Special Buy 1 get 1 freemir Wajan Teflon Sakura Series 20/18cm Mpasi Approve Anti Lengket Serhaguna,274000,207977,1,1,36,4159.54,50.0,1,1
25687393931,[FLASH SALE] freemir Wajan Panci Set Anti Lengket Warna Putih Wajan 20 cm Panci 18 cm Wajan Gagang Kayu Anti Panas,274000,197026,1,1,1,3940.52,50.0,1,1
44313788529,[OFFICIAL] freemir Frying Pan Anti lengket Pan 16cm Bahan Paduan Aluminium Merah Muda,84000,189694,3,3,14,5093.84,37.2,3,3
22077990946,[BEST SELLER] freemir Wajan Panci 24 CM Memperdalam Wajan Anti Lengket Wajan +Kukusan Serbaguna Granite,244000,188863,1,1,30,18886.3,10.0,1,1
26456759710,Special freemir Wajan Presto Granite Beige Series 24cm Panci Anti Lengket Bisa Kompor Apapun,230000,182160,1,1,14,3643.2,50.0,1,1
4230022492,Special freemir Hadiah Untuk Ibu Spesial Ramadhan - Toples Kaca Set 4 in 1 Hampers Lebaran Cantik,124000,171111,2,2,257,4939.48,34.6,2,1
42568694808,Exclusive New Launch  freemir Set api - Panci susu 16cm304 dengan tutup pembuat kopi Pot makanan tambahan Panci dan wajan dapur Panci anti lengket mudah dibersihkan,204000,162936,1,1,2,3258.72,50.0,1,1
29382700966,[OFFICIAL] freemir Deep Fryer Stainless Steel Set Bertutup kaca Handle Kayu Foodgrade Goreng Rebus,194000,144931,1,1,3,5797.24,25.0,1,0
42718693819,NEW special freemirSet Api Wajan Bawah Komposit -24cm SUS304 Panci anti lengket mudah dibersihkan Panci dan wajan dapur,204000,138973,1,1,4,2779.46,50.0,1,1
25864861991,Special freemir Grill Pan Beige Series Panggangan Bulat 30cm Cocok untuk BBQ Anti Lengket Serbaguna,180900,134567,1,1,18,2691.34,50.0,1,1
41459421599,freemir Panci Kopi Susu Granit Food Grade Anti Lengket 2 Set Beige/Hitam,140000,99360,1,1,36,1987.2,50.0,1,0
44322252989,"Offical freemir Panci susu mini Kelas makanan baja tahan karat 304 Mudah dibersihkan wajan anti lengket Masak mie, kopi, dan susu Satu pot untuk berbagai kegunaan Panci dan wajan dapur",124000,94152,1,1,2,3766.08,25.0,1,1
26324218402,freemir Kado Lebaran Unik Toples Kaca Set 4 Pcs - Gift Box Mewah Edisi Spesial Ramadhan,124000,93600,1,1,70,3744,25.0,1,1
27703622943,[OFFICIAL MALL] freemir Panci Elektrik Ukuran 15cm Kapasitas 1.2L 450 W Serbaguna Cocok untuk Kost panci listrik,124000,87881,1,1,6,3515.24,25.0,1,1
20078260617,[OFFICIAL MALL] freemir Wajan Penggorengan 16 cm Anti Lengket Gagang Kayu Serbaguna,114000,80223,1,1,2,1604.46,50.0,1,0
29281031267,[OFFICIAL] freemir Hand Mixer Beruang GARANSI 100% KERUSAKAN,134000,77418,1,1,8,1548.36,50.0,1,1
27251641737,[OFFICIAL ] freemir  anti lengket wajan  wajan penggorengan anti lengket  wajan kecil Wajan 16 CM warna Hitam  Anti Lengket Serbaguna,84900,73508,1,1,13,1470.16,50.0,1,0
12854147927,[OFFICIAL] freemir 5 Pcs Set Pisau Dapur Beige Anti Lengket Tajam Isi Talenan Pisau Buah Pisau Dapur,84900,63216,1,1,13,2528.64,25.0,1,0
16558153568,[OFFICIAL] freemir Piring 14 cm set 4 Pcs Wheat Straw Serving Plate/Set Piring Ukuran Sedang/Hampers/Set Kado Unik,54900,39022,1,1,14,780.44,50.0,1,0
49402841595,freemir Kotak Bento Kotak Penyimpan Makanan Mangkuk Penyimpan Makanan Mangkuk Salad,44000,29000,1,1,83,1160,25.0,1,0
42926312112,freemir Wheat Straw Coffee Cup,29000,22604,1,1,1,904.16,25.0,1,0
4696645173,freemir HANYA UNTUK HADIAH [TIDAK BOLEH DIBELI],39000,0,67,67,10,0,--,67,19
